年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,品管技術員,批發業,4548,43946,39481,4465
2019,工管及生管技術員,批發業,… ,… ,… ,… 
2019,製圖員,批發業,799,33350,33347,3
2019,環境工程技術員,批發業,— ,— ,— ,— 
2019,生命科學技術員,批發業,… ,… ,… ,… 
2019,農業技術及農業推廣人員,批發業,565,44186,40108,4078
2019,醫學及病理檢驗人員,批發業,… ,… ,… ,… 
2019,配鏡、驗光技術員,批發業,— ,— ,— ,— 
2019,勞安及衛生技術員,批發業,175,58584,44954,13630
2019,其他醫療保健助理專業人員,批發業,— ,— ,— ,— 
2019,會計人員,批發業,1222,52972,52013,959
2019,統計及精算助理專業人員,批發業,7,56109,55970,139
2019,保險代理人,批發業,— ,— ,— ,— 
2019,工商業銷售代表(含業務員),批發業,185275,45296,39827,5469
2019,採購員,批發業,16010,41392,39745,1647
2019,報關員(含報驗、船務人員),批發業,445,42107,41158,949
2019,會議及活動規劃人員,批發業,— ,— ,— ,— 
2019,拍賣員(不含電子購物、郵購),批發業,799,45760,43456,2304
2019,專業秘書,批發業,5237,69930,43419,26511
2019,法務人員,批發業,150,72573,58347,14226
2019,攝影師、攝影記者,批發業,— ,— ,— ,— 
2019,節目助理及舞台相關工作人員,批發業,— ,— ,— ,— 
2019,資訊管理及維護技術員,批發業,8892,38823,34600,4223
2019,事務支援人員,批發業,305191,34614,33116,1498
2019,總務,批發業,20193,38431,33304,5127
2019,一般辦公室事務人員(含文書),批發業,83942,34157,32931,1226
2019,資料輸入人員,批發業,6137,30059,28513,1546
2019,收帳、收費人員(含帳款催收),批發業,… ,… ,… ,… 
2019,接待員及服務台事務人員,批發業,3530,32371,30649,1722
2019,總機人員,批發業,2424,29478,29147,331
2019,電話及網路客服人員,批發業,5301,36105,33690,2415
2019,統計調查訪談人員,批發業,… ,… ,… ,… 
2019,會計助理、簿記、出納,批發業,136591,34246,33178,1068
2019,存貨事務人員,批發業,31242,35659,34158,1501
2019,生產及物料規劃事務人員,批發業,8080,33305,32266,1039
2019,運輸事務人員(含稽查、調度、管理、航務),批發業,527,46253,44326,1927
2019,人事事務人員,批發業,6987,38111,35330,2781
2019,服務及銷售工作人員,批發業,60786,37920,31050,6870
2019,廚師,批發業,101,35265,33010,2255
2019,餐飲服務人員,批發業,— ,— ,— ,— 
2019,美髮、美容及造型設計人員,批發業,1860,37528,27832,9696
2019,宿舍舍監,批發業,— ,— ,— ,— 
2019,按摩師,批發業,39,22923,21906,1017
2019,商店銷售人員(含百貨公司樓管人員),批發業,40321,39271,32157,7114
2019,收銀員及售票員,批發業,2402,29217,28149,1068
2019,展售說明人員,批發業,11654,37044,28471,8573
2019,電話及網路行銷人員,批發業,2927,32309,30658,1651
2019,加油站服務員,批發業,— ,— ,— ,— 
2019,餐食服務櫃台工作人員,批發業,785,25786,25297,489
2019,建築物管理員、保全及警衛人員,批發業,697,43822,37011,6811
2019,技藝、機械設備操作及組裝人員,批發業,131970,40517,33629,6888
2019,園藝及農牧業生產人員,批發業,1244,36866,32497,4369
2019,砌石、裁石及石雕人員,批發業,… ,… ,… ,… 
2019,玻璃安裝人員,批發業,— ,— ,— ,— 
2019,管道裝設人員(含檢修),批發業,— ,— ,— ,— 
2019,空調及冷凍機械裝修人員,批發業,… ,… ,… ,… 
2019,金屬工具機設定及操作人員,批發業,4298,31891,31271,620
2019,車輛維修人員(含自行車、機車、汽車、火車),批發業,7168,33658,32130,1528
2019,產業用機器維修人員,批發業,6889,89664,35684,53980
2019,精密儀器製造及修理人員,批發業,3607,82681,42015,40666
2019,陶瓷製品有關工作人員(含磚瓦),批發業,… ,… ,… ,… 
2019,各種材質手工藝人員,批發業,… ,… ,… ,… 
2019,美編及印刷前置工作人員,批發業,… ,… ,… ,… 
2019,建築物電力系統裝修人員(含水電工),批發業,1969,63139,34946,28193
2019,電力機械裝修人員,批發業,5590,38126,35075,3051
2019,資(通)訊設備裝修人員(含電信、電話),批發業,… ,… ,… ,… 
2019,電子設備裝修人員（不含資通訊設備）,批發業,9231,44026,33258,10768
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),批發業,3927,30486,27334,3152
2019,木材處理、家具木工及有關工作人員,批發業,2777,28197,28197,— 
2019,服飾打樣及剪裁人員,批發業,1705,36980,34171,2809
2019,非食品飲料產品分級及檢查人員,批發業,4529,24960,23969,991
2019,金屬製造設備操作員(含熔煉、鑄造、輾軋、熱處理、抽製及擠型等),批發業,2430,32584,29456,3128
2019,化學產品機械操作員(不含藥品、化粧品及照相產品),批發業,… ,… ,… ,… 
