年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,存貨事務人員,個人及家庭用品維修業,736,36575,32499,4076
2019,生產及物料規劃事務人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,人事事務人員,個人及家庭用品維修業,166,29199,29065,134
2019,服務及銷售工作人員,個人及家庭用品維修業,950,36604,35021,1583
2019,廚師,個人及家庭用品維修業,— ,— ,— ,— 
2019,餐飲服務人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,美髮、美容及造型設計人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,殯葬服務人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,寵物美容師及動物照料工作人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,按摩師,個人及家庭用品維修業,— ,— ,— ,— 
2019,商店銷售人員(含百貨公司樓管人員),個人及家庭用品維修業,252,32961,32259,702
2019,收銀員及售票員,個人及家庭用品維修業,— ,— ,— ,— 
2019,展售說明人員,個人及家庭用品維修業,681,38155,36206,1949
2019,電話及網路行銷人員,個人及家庭用品維修業,… ,… ,… ,… 
2019,建築物管理員、保全及警衛人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,技藝、機械設備操作及組裝人員,個人及家庭用品維修業,20181,32390,30898,1492
2019,絕緣材料安裝人員,個人及家庭用品維修業,… ,… ,… ,… 
2019,空調及冷凍機械裝修人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,油漆、噴漆人員(含裱糊工),個人及家庭用品維修業,829,33279,33063,216
2019,板金人員,個人及家庭用品維修業,847,34105,33492,613
2019,車輛維修人員(含自行車、機車、汽車、火車),個人及家庭用品維修業,16111,32301,30934,1367
2019,產業用機器維修人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,各種材質手工藝人員,個人及家庭用品維修業,… ,… ,… ,… 
2019,電力機械裝修人員,個人及家庭用品維修業,516,37627,30923,6704
2019,資(通)訊設備裝修人員(含電信、電話),個人及家庭用品維修業,1226,30289,27444,2845
2019,電子設備裝修人員（不含資通訊設備）,個人及家庭用品維修業,424,32199,31879,320
2019,非食品飲料產品分級及檢查人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,縫製機械操作人員(含裁縫、刺繡),個人及家庭用品維修業,— ,— ,— ,— 
2019,洗滌工、熨燙工,個人及家庭用品維修業,— ,— ,— ,— 
2019,小客、貨車駕駛人員,個人及家庭用品維修業,48,33763,31697,2066
2019,大客、貨車駕駛人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,推土、吊車、起重機等移運設備操作人員,個人及家庭用品維修業,… ,… ,… ,… 
2019,基層技術工及勞力工,個人及家庭用品維修業,2297,30180,29225,955
2019,清潔及家事工作人員(含建築清潔工),個人及家庭用品維修業,2058,30558,29565,993
2019,勞力工,個人及家庭用品維修業,239,26926,26298,628
2019,廚房幫工(含速食烹調),個人及家庭用品維修業,— ,— ,— ,— 
2019,主管及監督人員,美髮及美容美體業,3010,49665,48839,826
2019,高階主管(總經理及總執行長),美髮及美容美體業,11,140909,140909,— 
2019,中階主管(經理),美髮及美容美體業,210,85632,77695,7937
2019,監督人員(含現場及辦公室主任、科/股長),美髮及美容美體業,2789,46597,46303,294
2019,專業人員,美髮及美容美體業,17,42739,39317,3422
2019,電機工程師,美髮及美容美體業,— ,— ,— ,— 
2019,電子工程師,美髮及美容美體業,— ,— ,— ,— 
2019,平面及多媒體設計師,美髮及美容美體業,— ,— ,— ,— 
2019,稽核人員,美髮及美容美體業,— ,— ,— ,— 
2019,廣告及行銷專業人員(含企劃),美髮及美容美體業,… ,… ,… ,… 
2019,公關專業人員,美髮及美容美體業,… ,… ,… ,… 
2019,軟體開發及程式設計師,美髮及美容美體業,— ,— ,— ,— 
2019,資料庫及網路專業人員,美髮及美容美體業,— ,— ,— ,— 
2019,翻譯人員,美髮及美容美體業,— ,— ,— ,— 
2019,技術員及助理專業人員,美髮及美容美體業,18,37633,37633,— 
2019,營建工程技術員(含建築、土木、景觀、測量、水利),美髮及美容美體業,— ,— ,— ,— 
2019,電機技術員,美髮及美容美體業,— ,— ,— ,— 
2019,電子技術員,美髮及美容美體業,— ,— ,— ,— 
2019,冷凍空調技術員,美髮及美容美體業,— ,— ,— ,— 
2019,品管技術員,美髮及美容美體業,— ,— ,— ,— 
2019,製圖員,美髮及美容美體業,— ,— ,— ,— 
2019,會計人員,美髮及美容美體業,— ,— ,— ,— 
2019,工商業銷售代表(含業務員),美髮及美容美體業,— ,— ,— ,— 
2019,採購員,美髮及美容美體業,… ,… ,… ,… 
2019,會議及活動規劃人員,美髮及美容美體業,— ,— ,— ,— 
2019,法務人員,美髮及美容美體業,— ,— ,— ,— 
2019,資訊管理及維護技術員,美髮及美容美體業,… ,… ,… ,… 
2019,事務支援人員,美髮及美容美體業,1724,29418,28794,624
2019,總務,美髮及美容美體業,79,31023,30900,123
2019,一般辦公室事務人員(含文書),美髮及美容美體業,440,30007,29436,571
2019,資料輸入人員,美髮及美容美體業,— ,— ,— ,— 
2019,收帳、收費人員(含帳款催收),美髮及美容美體業,— ,— ,— ,— 
2019,接待員及服務台事務人員,美髮及美容美體業,521,28425,27542,883
2019,總機人員,美髮及美容美體業,32,28805,25664,3141
2019,電話及網路客服人員,美髮及美容美體業,— ,— ,— ,— 
2019,會計助理、簿記、出納,美髮及美容美體業,528,29990,29537,453
2019,統計、財務、證券及保險事務人員,美髮及美容美體業,— ,— ,— ,— 
2019,存貨事務人員,美髮及美容美體業,6,27876,27876,— 
2019,生產及物料規劃事務人員,美髮及美容美體業,— ,— ,— ,— 
2019,人事事務人員,美髮及美容美體業,118,28211,28085,126
2019,服務及銷售工作人員,美髮及美容美體業,37187,27099,26506,593
2019,廚師,美髮及美容美體業,— ,— ,— ,— 
2019,餐飲服務人員,美髮及美容美體業,20,25138,25138,— 
2019,美髮、美容及造型設計人員,美髮及美容美體業,35992,27145,26532,613
2019,殯葬服務人員,美髮及美容美體業,— ,— ,— ,— 
2019,寵物美容師及動物照料工作人員,美髮及美容美體業,— ,— ,— ,— 
2019,按摩師,美髮及美容美體業,1085,25441,25441,— 
2019,商店銷售人員(含百貨公司樓管人員),美髮及美容美體業,— ,— ,— ,— 
2019,收銀員及售票員,美髮及美容美體業,8,29800,29800,— 
2019,展售說明人員,美髮及美容美體業,82,29169,29169,— 
2019,電話及網路行銷人員,美髮及美容美體業,— ,— ,— ,— 
2019,建築物管理員、保全及警衛人員,美髮及美容美體業,— ,— ,— ,— 
2019,技藝、機械設備操作及組裝人員,美髮及美容美體業,9,34180,34180,— 
2019,絕緣材料安裝人員,美髮及美容美體業,— ,— ,— ,— 
2019,空調及冷凍機械裝修人員,美髮及美容美體業,— ,— ,— ,— 
2019,油漆、噴漆人員(含裱糊工),美髮及美容美體業,— ,— ,— ,— 
2019,板金人員,美髮及美容美體業,— ,— ,— ,— 
2019,車輛維修人員(含自行車、機車、汽車、火車),美髮及美容美體業,— ,— ,— ,— 
2019,產業用機器維修人員,美髮及美容美體業,— ,— ,— ,— 
2019,各種材質手工藝人員,美髮及美容美體業,— ,— ,— ,— 
2019,電力機械裝修人員,美髮及美容美體業,… ,… ,… ,… 
2019,資(通)訊設備裝修人員(含電信、電話),美髮及美容美體業,… ,… ,… ,… 
2019,電子設備裝修人員（不含資通訊設備）,美髮及美容美體業,— ,— ,— ,— 
2019,非食品飲料產品分級及檢查人員,美髮及美容美體業,— ,— ,— ,— 
2019,縫製機械操作人員(含裁縫、刺繡),美髮及美容美體業,— ,— ,— ,— 
2019,洗滌工、熨燙工,美髮及美容美體業,— ,— ,— ,— 
2019,小客、貨車駕駛人員,美髮及美容美體業,… ,… ,… ,… 
2019,大客、貨車駕駛人員,美髮及美容美體業,— ,— ,— ,— 
2019,推土、吊車、起重機等移運設備操作人員,美髮及美容美體業,— ,— ,— ,— 
2019,基層技術工及勞力工,美髮及美容美體業,136,26115,26115,— 
2019,清潔及家事工作人員(含建築清潔工),美髮及美容美體業,105,26697,26697,— 
2019,勞力工,美髮及美容美體業,… ,… ,… ,… 
2019,廚房幫工(含速食烹調),美髮及美容美體業,27,24015,24015,— 
2019,主管及監督人員,其他個人服務業,3397,60335,59841,494
2019,高階主管(總經理及總執行長),其他個人服務業,57,152541,152541,— 
2019,中階主管(經理),其他個人服務業,713,89474,89298,176
