年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,會(審)計師(含會計稽核),不動產經營及相關服務業,97,74789,63571,11218
2019,財務、經濟及投資分析研究人員,不動產經營及相關服務業,75,53855,53656,199
2019,專案管理師(含經營管理顧問),不動產經營及相關服務業,426,52997,52683,314
2019,人力資源管理師,不動產經營及相關服務業,72,56089,54546,1543
2019,廣告及行銷專業人員(含企劃),不動產經營及相關服務業,1538,44281,41509,2772
2019,公關專業人員,不動產經營及相關服務業,83,56605,55507,1098
2019,資訊系統分析及設計師,不動產經營及相關服務業,106,67597,64905,2692
2019,軟體開發及程式設計師,不動產經營及相關服務業,269,63594,62383,1211
2019,資料庫及網路專業人員,不動產經營及相關服務業,73,57611,55261,2350
2019,律師及相關專業人員,不動產經營及相關服務業,— ,— ,— ,— 
2019,翻譯人員,不動產經營及相關服務業,— ,— ,— ,— 
2019,技術員及助理專業人員,不動產經營及相關服務業,35447,48649,40814,7835
2019,營建工程技術員(含建築、土木、景觀、測量、水利),不動產經營及相關服務業,18,61407,55308,6099
2019,電機技術員,不動產經營及相關服務業,80,52064,51553,511
2019,環境工程技術員,不動產經營及相關服務業,… ,… ,… ,… 
2019,農業技術及農業推廣人員,不動產經營及相關服務業,212,63707,60233,3474
2019,船舶監管人員(含引水人員),不動產經營及相關服務業,— ,— ,— ,— 
2019,勞安及衛生技術員,不動產經營及相關服務業,— ,— ,— ,— 
2019,會計人員,不動產經營及相關服務業,209,44745,43214,1531
2019,財物及損失鑑價人員,不動產經營及相關服務業,552,48329,47023,1306
2019,工商業銷售代表(含業務員),不動產經營及相關服務業,1690,94955,38616,56339
2019,採購員,不動產經營及相關服務業,54,65025,64721,304
2019,不動產經紀人,不動產經營及相關服務業,31219,46427,40800,5627
2019,拍賣員(不含電子購物、郵購),不動產經營及相關服務業,… ,… ,… ,… 
2019,專業秘書,不動產經營及相關服務業,814,39099,37458,1641
2019,土地代書(地政士),不動產經營及相關服務業,— ,— ,— ,— 
2019,法務人員,不動產經營及相關服務業,67,96908,45999,50909
2019,資訊管理及維護技術員,不動產經營及相關服務業,523,33610,33392,218
2019,事務支援人員,不動產經營及相關服務業,22146,30797,29136,1661
2019,總務,不動產經營及相關服務業,1919,37606,37131,475
2019,一般辦公室事務人員(含文書),不動產經營及相關服務業,11093,27732,26836,896
2019,資料輸入人員,不動產經營及相關服務業,695,24213,23872,341
2019,收帳、收費人員(含帳款催收),不動產經營及相關服務業,821,38445,36220,2225
2019,接待員及服務台事務人員,不動產經營及相關服務業,694,24062,23636,426
2019,總機人員,不動產經營及相關服務業,770,30540,27818,2722
2019,統計調查訪談人員,不動產經營及相關服務業,… ,… ,… ,… 
2019,會計助理、簿記、出納,不動產經營及相關服務業,5096,34479,30423,4056
2019,統計、財務、證券及保險事務人員,不動產經營及相關服務業,— ,— ,— ,— 
2019,存貨事務人員,不動產經營及相關服務業,417,45900,45860,40
2019,人事事務人員,不動產經營及相關服務業,583,28776,27806,970
2019,服務及銷售工作人員,不動產經營及相關服務業,1972,30413,28390,2023
2019,按摩師,不動產經營及相關服務業,… ,… ,… ,… 
2019,商店銷售人員(含百貨公司樓管人員),不動產經營及相關服務業,345,23819,23398,421
2019,展售說明人員,不動產經營及相關服務業,925,28020,27971,49
2019,建築物管理員、保全及警衛人員,不動產經營及相關服務業,700,36807,31386,5421
2019,技藝、機械設備操作及組裝人員,不動產經營及相關服務業,237,46641,39114,7527
2019,園藝及農牧業生產人員,不動產經營及相關服務業,… ,… ,… ,… 
2019,營建木作人員,不動產經營及相關服務業,… ,… ,… ,… 
2019,泥作工作人員,不動產經營及相關服務業,… ,… ,… ,… 
2019,建築物電力系統裝修人員(含水電工),不動產經營及相關服務業,— ,— ,— ,— 
2019,電力機械裝修人員,不動產經營及相關服務業,… ,… ,… ,… 
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),不動產經營及相關服務業,… ,… ,… ,… 
2019,軌道車輛駕駛人員,不動產經營及相關服務業,47,61479,55701,5778
2019,小客、貨車駕駛人員,不動產經營及相關服務業,118,49236,38429,10807
2019,大客、貨車駕駛人員,不動產經營及相關服務業,… ,… ,… ,… 
2019,基層技術工及勞力工,不動產經營及相關服務業,1684,25647,23605,2042
2019,清潔及家事工作人員(含建築清潔工),不動產經營及相關服務業,1131,26845,24027,2818
2019,勞力工,不動產經營及相關服務業,553,23198,22743,455
